,date,boundsId,weight,quantity
149,2020-03-23 01:00:00,461,100.0,
150,2020-04-21 02:00:00,461,50.0,
151,2020-05-28 02:00:00,461,,
152,2017-11-27 01:00:00,461,,
153,2019-04-09 02:00:00,461,200.0,
154,2017-05-12 02:00:00,462,160.0,
155,2018-05-03 02:00:00,462,,
156,2018-05-05 02:00:00,462,,
157,2018-06-22 02:00:00,462,100.0,
158,2017-03-13 01:00:00,463,200.0,
159,2017-05-02 02:00:00,463,300.0,
160,2017-06-22 02:00:00,463,,
161,2019-06-14 02:00:00,463,,
162,2018-05-13 02:00:00,467,70.0,
163,2018-05-13 02:00:00,469,120.0,
164,2018-05-13 02:00:00,469,40.0,
165,2019-04-04 02:00:00,483,300.0,
166,2018-05-13 02:00:00,483,5.0,
167,2018-05-13 02:00:00,483,,
168,2018-04-18 02:00:00,488,80.0,
169,2020-09-18 02:00:00,489,,
170,2018-08-20 02:00:00,489,804.0,
171,2018-05-03 02:00:00,489,3600.0,
172,2018-05-13 02:00:00,489,0.0,
173,2018-05-13 02:00:00,489,0.0,
174,2018-05-13 02:00:00,489,8.0,
175,2018-05-04 02:00:00,489,,
176,2018-11-10 01:00:00,489,3000.0,
177,2019-11-02 01:00:00,492,16.0,
178,2016-05-07 02:00:00,494,0.0,
179,2015-05-09 02:00:00,494,80.0,
180,2018-05-03 02:00:00,494,,
181,2018-05-03 02:00:00,495,75.0,
182,2019-05-15 02:00:00,495,20.0,
183,2020-06-30 02:00:00,496,100.0,
184,2020-05-29 02:00:00,496,40.0,
185,2018-05-08 02:00:00,496,1760.0,
186,2018-07-05 02:00:00,496,550.0,
187,2019-06-18 02:00:00,496,70.0,
188,2018-05-03 02:00:00,498,,
189,2018-11-18 01:00:00,500,,
190,2020-11-11 21:15:00,501,,
191,2016-04-22 02:00:00,501,1540.0,
192,2019-11-30 01:00:00,501,960.0,
193,2019-09-14 02:00:00,507,31.0,
194,2019-05-03 02:00:00,512,50.0,
195,2018-05-13 02:00:00,515,0.0,
196,2020-11-11 21:15:00,516,580.0,
197,2019-05-01 02:00:00,516,88.0,
198,2019-10-31 01:00:00,523,300.0,
199,2018-04-30 02:00:00,528,100.0,
200,2020-05-04 02:00:00,529,4300.0,
201,2018-04-27 02:00:00,529,610.0,
202,2018-05-13 02:00:00,529,8.0,
203,2020-04-23 02:00:00,530,100.0,
204,2018-05-02 02:00:00,531,550.0,
205,2017-07-31 02:00:00,531,,
206,2018-10-31 01:00:00,531,980.0,
207,2020-06-06 02:00:00,532,2000.0,
208,2019-09-14 02:00:00,543,,
209,2017-09-16 02:00:00,544,,
210,2018-04-07 02:00:00,551,,
211,2017-02-19 01:00:00,552,200.0,
212,2018-03-17 01:00:00,552,30.0,
213,2019-04-09 02:00:00,552,900.0,
214,2019-09-14 02:00:00,552,400.0,
215,2018-05-13 02:00:00,552,4.0,
216,2020-02-29 01:00:00,552,1200.0,
217,2019-04-11 02:00:00,552,160.0,
218,2018-09-01 02:00:00,553,900.0,
219,2018-05-05 02:00:00,554,600.0,
220,2017-06-18 02:00:00,554,,
221,2018-05-07 02:00:00,554,1420.0,
222,2018-05-13 02:00:00,556,0.0,
223,2018-04-18 02:00:00,556,7.0,
224,2019-04-11 02:00:00,558,300.0,
225,2019-04-11 02:00:00,558,,
226,2017-05-06 02:00:00,560,150.0,
227,2018-10-28 02:00:00,562,600.0,
228,2017-05-20 02:00:00,563,900.0,
229,2017-07-06 02:00:00,565,250.0,
230,2019-09-17 02:00:00,565,,
231,2018-11-03 01:00:00,565,2220.0,
232,2020-03-18 01:00:00,579,800.0,
233,2017-11-25 01:00:00,580,,
234,2017-10-01 02:00:00,582,,
235,2017-10-01 02:00:00,583,,
236,2019-05-15 02:00:00,583,2200.0,
237,2019-08-26 02:00:00,583,300.0,
238,2019-09-28 02:00:00,583,1200.0,
239,2018-05-13 02:00:00,583,3.0,
240,2017-09-20 02:00:00,584,,
241,2017-12-29 01:00:00,584,,
